instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,season_name,weather_desc,month,dayofweek,casual_ratio,Cluster
131,2011-05-11,2,0,5,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5425,0.5284,0.632917,0.120642,550,3632,4182,2011,Summer,Clear,May,2,0.15143171806167402,0
132,2011-05-12,2,0,5,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.535,0.523363,0.7475,0.189667,695,4169,4864,2011,Summer,Clear,May,3,0.16670664427920365,0
133,2011-05-13,2,0,5,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5125,0.4943,0.863333,0.179725,692,3413,4105,2011,Summer,Mist,May,4,0.2027541752124231,0
134,2011-05-14,2,0,5,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.520833,0.500629,0.9225,0.13495,902,2507,3409,2011,Summer,Mist,May,5,0.35979258077383325,0
135,2011-05-15,2,0,5,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5625,0.536,0.867083,0.152979,1582,2971,4553,2011,Summer,Mist,May,6,0.5324806462470548,0
136,2011-05-16,2,0,5,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5775,0.550512,0.787917,0.126871,773,3185,3958,2011,Summer,Clear,May,0,0.24270015698587127,0
137,2011-05-17,2,0,5,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.561667,0.538529,0.837917,0.277354,678,3445,4123,2011,Summer,Mist,May,1,0.19680696661828737,0
138,2011-05-18,2,0,5,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.55,0.527158,0.87,0.201492,536,3319,3855,2011,Summer,Mist,May,2,0.16149442603193734,0
139,2011-05-19,2,0,5,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.530833,0.510742,0.829583,0.108213,735,3840,4575,2011,Summer,Mist,May,3,0.19140625,0
140,2011-05-20,2,0,5,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.536667,0.529042,0.719583,0.125013,909,4008,4917,2011,Summer,Clear,May,4,0.22679640718562874,0
141,2011-05-21,2,0,5,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6025,0.571975,0.626667,0.12065,2258,3547,5805,2011,Summer,Clear,May,5,0.6365943050465181,1
142,2011-05-22,2,0,5,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.604167,0.5745,0.749583,0.148008,1576,3084,4660,2011,Summer,Clear,May,6,0.5110246433203631,0
143,2011-05-23,2,0,5,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.631667,0.590296,0.81,0.233842,836,3438,4274,2011,Summer,Mist,May,0,0.24316463059918558,0
144,2011-05-24,2,0,5,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.66,0.604813,0.740833,0.207092,659,3833,4492,2011,Summer,Mist,May,1,0.17192799373858597,0
145,2011-05-25,2,0,5,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.660833,0.615542,0.69625,0.154233,740,4238,4978,2011,Summer,Clear,May,2,0.1746106654082114,0
146,2011-05-26,2,0,5,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.708333,0.654688,0.6775,0.199642,758,3919,4677,2011,Summer,Clear,May,3,0.19341668793059455,0
147,2011-05-27,2,0,5,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.681667,0.637008,0.65375,0.240679,871,3808,4679,2011,Summer,Clear,May,4,0.22872899159663865,0
148,2011-05-28,2,0,5,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.655833,0.612379,0.729583,0.230092,2001,2757,4758,2011,Summer,Clear,May,5,0.7257889009793254,0
149,2011-05-29,2,0,5,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6675,0.61555,0.81875,0.213938,2355,2433,4788,2011,Summer,Clear,May,6,0.967940813810111,0
150,2011-05-30,2,0,5,1,1,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.733333,0.671092,0.685,0.131225,1549,2549,4098,2011,Summer,Clear,May,0,0.6076892899176147,0
151,2011-05-31,2,0,5,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.775,0.725383,0.636667,0.111329,673,3309,3982,2011,Summer,Clear,May,1,0.20338470837110909,0
152,2011-06-01,2,0,6,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.764167,0.720967,0.677083,0.207092,513,3461,3974,2011,Summer,Mist,June,2,0.14822305691996532,0
153,2011-06-02,2,0,6,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.715,0.643942,0.305,0.292287,736,4232,4968,2011,Summer,Clear,June,3,0.17391304347826086,0
154,2011-06-03,2,0,6,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.587133,0.354167,0.253121,898,4414,5312,2011,Summer,Clear,June,4,0.20344358858178524,0
155,2011-06-04,2,0,6,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.635,0.594696,0.45625,0.123142,1869,3473,5342,2011,Summer,Clear,June,5,0.5381514540742873,0
156,2011-06-05,2,0,6,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.648333,0.616804,0.6525,0.138692,1685,3221,4906,2011,Summer,Mist,June,6,0.5231294628997206,0
157,2011-06-06,2,0,6,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.678333,0.621858,0.6,0.121896,673,3875,4548,2011,Summer,Clear,June,0,0.1736774193548387,0
158,2011-06-07,2,0,6,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7075,0.65595,0.597917,0.187808,763,4070,4833,2011,Summer,Clear,June,1,0.18746928746928748,0
159,2011-06-08,2,0,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.775833,0.727279,0.622083,0.136817,676,3725,4401,2011,Summer,Clear,June,2,0.1814765100671141,0
160,2011-06-09,2,0,6,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.808333,0.757579,0.568333,0.149883,563,3352,3915,2011,Summer,Mist,June,3,0.16795942720763724,0
161,2011-06-10,2,0,6,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.755,0.703292,0.605,0.140554,815,3771,4586,2011,Summer,Clear,June,4,0.21612304428533546,0
162,2011-06-11,2,0,6,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.725,0.678038,0.654583,0.15485,1729,3237,4966,2011,Summer,Clear,June,5,0.5341365461847389,0
163,2011-06-12,2,0,6,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6925,0.643325,0.747917,0.163567,1467,2993,4460,2011,Summer,Clear,June,6,0.49014366855997327,0
164,2011-06-13,2,0,6,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.635,0.601654,0.494583,0.30535,863,4157,5020,2011,Summer,Clear,June,0,0.2076016357950445,0
165,2011-06-14,2,0,6,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.604167,0.591546,0.507083,0.269283,727,4164,4891,2011,Summer,Clear,June,1,0.17459173871277617,0
166,2011-06-15,2,0,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.626667,0.587754,0.471667,0.167912,769,4411,5180,2011,Summer,Clear,June,2,0.17433688506007708,0
167,2011-06-16,2,0,6,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.628333,0.595346,0.688333,0.206471,545,3222,3767,2011,Summer,Mist,June,3,0.1691495965238982,0
168,2011-06-17,2,0,6,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.649167,0.600383,0.735833,0.143029,863,3981,4844,2011,Summer,Clear,June,4,0.2167797035920623,0
169,2011-06-18,2,0,6,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.696667,0.643954,0.670417,0.119408,1807,3312,5119,2011,Summer,Clear,June,5,0.5455917874396136,0
170,2011-06-19,2,0,6,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.699167,0.645846,0.666667,0.102,1639,3105,4744,2011,Summer,Mist,June,6,0.5278582930756843,0
171,2011-06-20,2,0,6,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.635,0.595346,0.74625,0.155475,699,3311,4010,2011,Summer,Mist,June,0,0.21111446692842042,0
172,2011-06-21,3,0,6,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.680833,0.637646,0.770417,0.171025,774,4061,4835,2011,Fall,Mist,June,1,0.19059344988918986,0
173,2011-06-22,3,0,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.733333,0.693829,0.7075,0.172262,661,3846,4507,2011,Fall,Clear,June,2,0.17186687467498699,0
174,2011-06-23,3,0,6,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.728333,0.693833,0.703333,0.238804,746,4044,4790,2011,Fall,Mist,June,3,0.18447082096933728,0
175,2011-06-24,3,0,6,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.724167,0.656583,0.573333,0.222025,969,4022,4991,2011,Fall,Clear,June,4,0.2409249129786176,0
176,2011-06-25,3,0,6,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.695,0.643313,0.483333,0.209571,1782,3420,5202,2011,Fall,Clear,June,5,0.5210526315789473,0
177,2011-06-26,3,0,6,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.637629,0.513333,0.0945333,1920,3385,5305,2011,Fall,Clear,June,6,0.5672082717872969,0
178,2011-06-27,3,0,6,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6825,0.637004,0.658333,0.107588,854,3854,4708,2011,Fall,Mist,June,0,0.22158796056045668,0
179,2011-06-28,3,0,6,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.744167,0.692558,0.634167,0.144283,732,3916,4648,2011,Fall,Clear,June,1,0.18692543411644535,0
180,2011-06-29,3,0,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.728333,0.654688,0.497917,0.261821,848,4377,5225,2011,Fall,Clear,June,2,0.19374000456933974,0
181,2011-06-30,3,0,6,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.696667,0.637008,0.434167,0.185312,1027,4488,5515,2011,Fall,Clear,June,3,0.22883244206773617,0
182,2011-07-01,3,0,7,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7225,0.652162,0.39625,0.102608,1246,4116,5362,2011,Fall,Clear,July,4,0.30272108843537415,0
183,2011-07-02,3,0,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.738333,0.667308,0.444583,0.115062,2204,2915,5119,2011,Fall,Clear,July,5,0.7560891938250429,0
184,2011-07-03,3,0,7,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.716667,0.668575,0.6825,0.228858,2282,2367,4649,2011,Fall,Mist,July,6,0.9640895648500212,0
185,2011-07-04,3,0,7,1,1,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,2011,Fall,Mist,July,0,1.0292142377434519,1
186,2011-07-05,3,0,7,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.746667,0.696338,0.590417,0.126258,1031,3634,4665,2011,Fall,Clear,July,1,0.2837094111172262,0
187,2011-07-06,3,0,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.685633,0.743333,0.149883,784,3845,4629,2011,Fall,Clear,July,2,0.20390117035110533,0
188,2011-07-07,3,0,7,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.75,0.686871,0.65125,0.1592,754,3838,4592,2011,Fall,Clear,July,3,0.19645648775403857,0
189,2011-07-08,3,0,7,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.709167,0.670483,0.757917,0.225129,692,3348,4040,2011,Fall,Mist,July,4,0.2066905615292712,0
190,2011-07-09,3,0,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.733333,0.664158,0.609167,0.167912,1988,3348,5336,2011,Fall,Clear,July,5,0.5937873357228196,0
191,2011-07-10,3,0,7,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7475,0.690025,0.578333,0.183471,1743,3138,4881,2011,Fall,Clear,July,6,0.5554493307839388,0
192,2011-07-11,3,0,7,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7625,0.729804,0.635833,0.282337,723,3363,4086,2011,Fall,Clear,July,0,0.2149866190900981,0
193,2011-07-12,3,0,7,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.794167,0.739275,0.559167,0.200254,662,3596,4258,2011,Fall,Clear,July,1,0.18409343715239154,0
194,2011-07-13,3,0,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.746667,0.689404,0.631667,0.146133,748,3594,4342,2011,Fall,Clear,July,2,0.20812465219810797,0
195,2011-07-14,3,0,7,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.680833,0.635104,0.47625,0.240667,888,4196,5084,2011,Fall,Clear,July,3,0.21163012392755004,0
196,2011-07-15,3,0,7,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.663333,0.624371,0.59125,0.182833,1318,4220,5538,2011,Fall,Clear,July,4,0.3123222748815166,0
197,2011-07-16,3,0,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.686667,0.638263,0.585,0.208342,2418,3505,5923,2011,Fall,Clear,July,5,0.6898716119828816,1
198,2011-07-17,3,0,7,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.719167,0.669833,0.604167,0.245033,2006,3296,5302,2011,Fall,Clear,July,6,0.6086165048543689,0
199,2011-07-18,3,0,7,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.746667,0.703925,0.65125,0.215804,841,3617,4458,2011,Fall,Clear,July,0,0.23251313243019076,0
200,2011-07-19,3,0,7,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.776667,0.747479,0.650417,0.1306,752,3789,4541,2011,Fall,Clear,July,1,0.19846925310108207,0
201,2011-07-20,3,0,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.768333,0.74685,0.707083,0.113817,644,3688,4332,2011,Fall,Clear,July,2,0.17462039045553146,0
202,2011-07-21,3,0,7,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.815,0.826371,0.69125,0.222021,632,3152,3784,2011,Fall,Mist,July,3,0.20050761421319796,0
203,2011-07-22,3,0,7,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.848333,0.840896,0.580417,0.1331,562,2825,3387,2011,Fall,Clear,July,4,0.19893805309734514,0
204,2011-07-23,3,0,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.849167,0.804287,0.5,0.131221,987,2298,3285,2011,Fall,Clear,July,5,0.42950391644908614,0
205,2011-07-24,3,0,7,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.83,0.794829,0.550833,0.169171,1050,2556,3606,2011,Fall,Clear,July,6,0.4107981220657277,0
206,2011-07-25,3,0,7,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.743333,0.720958,0.757083,0.0908083,568,3272,3840,2011,Fall,Clear,July,0,0.17359413202933985,0
207,2011-07-26,3,0,7,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.771667,0.696979,0.540833,0.200258,750,3840,4590,2011,Fall,Clear,July,1,0.1953125,0
208,2011-07-27,3,0,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.775,0.690667,0.402917,0.183463,755,3901,4656,2011,Fall,Clear,July,2,0.19354011791848244,0
209,2011-07-28,3,0,7,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.779167,0.7399,0.583333,0.178479,606,3784,4390,2011,Fall,Clear,July,3,0.1601479915433404,0
210,2011-07-29,3,0,7,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.838333,0.785967,0.5425,0.174138,670,3176,3846,2011,Fall,Clear,July,4,0.21095717884130982,0
211,2011-07-30,3,0,7,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.804167,0.728537,0.465833,0.168537,1559,2916,4475,2011,Fall,Clear,July,5,0.5346364883401921,0
212,2011-07-31,3,0,7,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.805833,0.729796,0.480833,0.164813,1524,2778,4302,2011,Fall,Clear,July,6,0.5485961123110151,0
213,2011-08-01,3,0,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.771667,0.703292,0.550833,0.156717,729,3537,4266,2011,Fall,Clear,August,0,0.20610687022900764,0
214,2011-08-02,3,0,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.783333,0.707071,0.49125,0.20585,801,4044,4845,2011,Fall,Clear,August,1,0.1980712166172107,0
215,2011-08-03,3,0,8,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.731667,0.679937,0.6575,0.135583,467,3107,3574,2011,Fall,Mist,August,2,0.15030576118442227,0
216,2011-08-04,3,0,8,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.71,0.664788,0.7575,0.19715,799,3777,4576,2011,Fall,Mist,August,3,0.21154355308445857,0
217,2011-08-05,3,0,8,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.710833,0.656567,0.630833,0.184696,1023,3843,4866,2011,Fall,Clear,August,4,0.26619828259172523,0
218,2011-08-06,3,0,8,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.716667,0.676154,0.755,0.22825,1521,2773,4294,2011,Fall,Mist,August,5,0.5485034258925352,0
219,2011-08-07,3,0,8,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7425,0.715292,0.752917,0.201487,1298,2487,3785,2011,Fall,Clear,August,6,0.521913952553277,0
220,2011-08-08,3,0,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.765,0.703283,0.592083,0.192175,846,3480,4326,2011,Fall,Clear,August,0,0.24310344827586206,0
221,2011-08-09,3,0,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.775,0.724121,0.570417,0.151121,907,3695,4602,2011,Fall,Clear,August,1,0.24546684709066305,0
222,2011-08-10,3,0,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.766667,0.684983,0.424167,0.200258,884,3896,4780,2011,Fall,Clear,August,2,0.2268993839835729,0
223,2011-08-11,3,0,8,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7175,0.651521,0.42375,0.164796,812,3980,4792,2011,Fall,Clear,August,3,0.20402010050251257,0
224,2011-08-12,3,0,8,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.708333,0.654042,0.415,0.125621,1051,3854,4905,2011,Fall,Clear,August,4,0.27270368448365334,0
225,2011-08-13,3,0,8,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.685833,0.645858,0.729583,0.211454,1504,2646,4150,2011,Fall,Mist,August,5,0.5684051398337112,0
226,2011-08-14,3,0,8,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.676667,0.624388,0.8175,0.222633,1338,2482,3820,2011,Fall,Mist,August,6,0.5390813859790492,0
227,2011-08-15,3,0,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.665833,0.616167,0.712083,0.208954,775,3563,4338,2011,Fall,Clear,August,0,0.2175133314622509,0
228,2011-08-16,3,0,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.700833,0.645837,0.578333,0.236329,721,4004,4725,2011,Fall,Clear,August,1,0.18006993006993008,0
229,2011-08-17,3,0,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.723333,0.666671,0.575417,0.143667,668,4026,4694,2011,Fall,Clear,August,2,0.16592151018380527,0
230,2011-08-18,3,0,8,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.711667,0.662258,0.654583,0.233208,639,3166,3805,2011,Fall,Clear,August,3,0.2018319646241314,0
231,2011-08-19,3,0,8,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.685,0.633221,0.722917,0.139308,797,3356,4153,2011,Fall,Mist,August,4,0.23748510131108463,0
232,2011-08-20,3,0,8,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6975,0.648996,0.674167,0.104467,1914,3277,5191,2011,Fall,Clear,August,5,0.584070796460177,0
233,2011-08-21,3,0,8,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.710833,0.675525,0.77,0.248754,1249,2624,3873,2011,Fall,Clear,August,6,0.4759908536585366,0
234,2011-08-22,3,0,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.691667,0.638254,0.47,0.27675,833,3925,4758,2011,Fall,Clear,August,0,0.21222929936305732,0
235,2011-08-23,3,0,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.640833,0.606067,0.455417,0.146763,1281,4614,5895,2011,Fall,Clear,August,1,0.2776332899869961,1
236,2011-08-24,3,0,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.673333,0.630692,0.605,0.253108,949,4181,5130,2011,Fall,Clear,August,2,0.2269791915809615,0
237,2011-08-25,3,0,8,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.684167,0.645854,0.771667,0.210833,435,3107,3542,2011,Fall,Mist,August,3,0.1400064370775668,0
238,2011-08-26,3,0,8,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.659733,0.76125,0.0839625,768,3893,4661,2011,Fall,Clear,August,4,0.1972771641407655,0
239,2011-08-27,3,0,8,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.635556,0.85,0.375617,226,889,1115,2011,Fall,Mist,August,5,0.2542182227221597,2
240,2011-08-28,3,0,8,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.707059,0.647959,0.561765,0.304659,1415,2919,4334,2011,Fall,Clear,August,6,0.48475505310037686,0
241,2011-08-29,3,0,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.636667,0.607958,0.554583,0.159825,729,3905,4634,2011,Fall,Clear,August,0,0.18668373879641487,0
242,2011-08-30,3,0,8,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.639167,0.594704,0.548333,0.125008,775,4429,5204,2011,Fall,Clear,August,1,0.17498306615488823,0
243,2011-08-31,3,0,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.656667,0.611121,0.597917,0.0833333,688,4370,5058,2011,Fall,Clear,August,2,0.1574370709382151,0
244,2011-09-01,3,0,9,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.655,0.614921,0.639167,0.141796,783,4332,5115,2011,Fall,Clear,September,3,0.18074792243767313,0
245,2011-09-02,3,0,9,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.643333,0.604808,0.727083,0.139929,875,3852,4727,2011,Fall,Mist,September,4,0.22715472481827623,0
246,2011-09-03,3,0,9,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.669167,0.633213,0.716667,0.185325,1935,2549,4484,2011,Fall,Clear,September,5,0.7591212240094155,0
247,2011-09-04,3,0,9,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.709167,0.665429,0.742083,0.206467,2521,2419,4940,2011,Fall,Clear,September,6,1.0421661843737082,0
248,2011-09-05,3,0,9,1,1,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.673333,0.625646,0.790417,0.212696,1236,2115,3351,2011,Fall,Mist,September,0,0.5843971631205673,0
249,2011-09-06,3,0,9,0,2,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.886957,0.343943,204,2506,2710,2011,Fall,Light Rain/Snow,September,1,0.08140462889066241,2
250,2011-09-07,3,0,9,0,3,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.599167,0.544229,0.917083,0.0970208,118,1878,1996,2011,Fall,Light Rain/Snow,September,2,0.06283280085197018,2
251,2011-09-08,3,0,9,0,4,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.633913,0.555361,0.939565,0.192748,153,1689,1842,2011,Fall,Light Rain/Snow,September,3,0.0905861456483126,2
252,2011-09-09,3,0,9,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.65,0.578946,0.897917,0.124379,417,3127,3544,2011,Fall,Mist,September,4,0.13335465302206587,0
253,2011-09-10,3,0,9,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.607962,0.75375,0.153608,1750,3595,5345,2011,Fall,Clear,September,5,0.48678720445062584,0
254,2011-09-11,3,0,9,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.653333,0.609229,0.71375,0.115054,1633,3413,5046,2011,Fall,Clear,September,6,0.47846469381775564,0
255,2011-09-12,3,0,9,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.644348,0.60213,0.692174,0.088913,690,4023,4713,2011,Fall,Clear,September,0,0.1715137956748695,0
256,2011-09-13,3,0,9,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.650833,0.603554,0.7125,0.141804,701,4062,4763,2011,Fall,Clear,September,1,0.172575086164451,0
257,2011-09-14,3,0,9,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.673333,0.6269,0.697083,0.1673,647,4138,4785,2011,Fall,Clear,September,2,0.15635572740454326,0
258,2011-09-15,3,0,9,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5775,0.553671,0.709167,0.271146,428,3231,3659,2011,Fall,Mist,September,3,0.1324667285670071,0
259,2011-09-16,3,0,9,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.469167,0.461475,0.590417,0.164183,742,4018,4760,2011,Fall,Mist,September,4,0.18466898954703834,0
260,2011-09-17,3,0,9,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.491667,0.478512,0.718333,0.189675,1434,3077,4511,2011,Fall,Mist,September,5,0.46603834904127395,0
261,2011-09-18,3,0,9,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5075,0.490537,0.695,0.178483,1353,2921,4274,2011,Fall,Clear,September,6,0.46319753509072237,0
262,2011-09-19,3,0,9,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.549167,0.529675,0.69,0.151742,691,3848,4539,2011,Fall,Mist,September,0,0.17957380457380456,0
